,country,gdp,kill,live,internet,learn,suicide
0,Катар,129638,0.38,78.1,69.0,97.3,5.8
1,Люксембург,106372,0.72,82.4,90.62,100.0,10.4
2,Сингапур,101387,0.32,82.9,82.1,98.1,7.9
3,Ирландия,79617,0.8,81.5,80.12,99.0,10.9
4,Бруней,78350,0.49,76.4,50.0,96.0,4.5
5,Норвегия,74357,0.51,82.5,96.81,100.0,10.1
6,ОАЭ,69222,0.89,77.2,91.24,94.2,2.7
7,Кувейт,66652,1.8,74.8,38.25,95.7,2.2
8,Швейцария,65010,0.54,83.3,87.97,99.0,11.3
9,Нидерланды,56489,0.55,81.6,93.1,99.0,9.6
10,Исландия,55941,0.3,82.4,95.0,99.0,13.3
11,Саудовская Аравия,55730,1.5,74.8,73.8,94.7,3.4
12,Швеция,53652,1.08,82.4,90.61,99.0,11.7
13,Германия,52386,1.18,81.0,89.6,99.0,9.1
14,Австралия,52379,0.94,82.9,84.56,99.0,11.7
15,Дания,52279,0.98,81.2,96.33,99.0,9.2
16,Австрия,52172,0.66,81.9,83.93,99.0,11.4
17,Бахрейн,50049,0.52,79.1,55.0,95.7,5.7
18,Канада,49690,1.68,82.8,90.1,99.0,10.4
19,Оман,47933,0.66,77.0,74.17,93.9,3.5
20,Финляндия,46596,1.42,81.4,92.65,99.0,13.8
21,Франция,45893,1.35,82.9,86.8,99.0,12.1
22,Великобритания,45741,1.2,81.4,94.8,99.0,7.6
23,Мальта,45164,0.94,81.5,63.0,94.4,6.5
24,Япония,44246,0.28,84.2,94.0,99.0,14.3
25,Республика Корея,43290,0.7,82.7,92.7,99.0,20.2
26,Испания,40172,0.63,83.1,87.1,100.0,6.1
27,Новая Зеландия,40096,0.99,82.2,88.22,99.0,11.6
28,Кипр,39987,1.11,80.7,52.99,97.7,4.5
29,Италия,39676,0.67,82.8,86.7,99.2,5.5
30,Израиль,37994,1.36,82.3,78.89,97.8,5.2
31,Чехия,37340,0.61,79.2,81.3,99.0,10.5
32,Словения,36741,0.48,80.9,70.0,99.7,13.3
33,Словакия,35136,1.05,77.4,85.02,99.0,10.1
34,Литва,34597,5.25,75.0,71.38,99.8,25.7
35,Эстония,34157,3.19,77.8,74.1,99.8,14.4
36,Багамские Острова,32817,28.4,75.7,43.0,95.8,1.6
37,Португалия,32412,0.64,81.5,68.63,95.7,8.6
38,Тринидад и Тобаго,32284,30.88,71.8,48.5,99.0,12.9
39,Польша,32005,0.67,77.8,73.3,99.8,13.4
40,Венгрия,31914,2.07,76.0,72.83,99.1,13.6
41,Малайзия,31311,2.11,75.3,78.8,94.6,6.2
42,Сейшельские Острова,30383,12.74,73.3,41.0,94.2,8.3
43,Латвия,29912,3.36,75.0,79.2,99.9,17.2
44,Греция,29072,0.75,81.2,66.84,97.7,3.8
45,Турция,28044,4.31,76.4,69.6,95.6,7.2
46,Антигуа и Барбуда,28013,10.33,75.0,80.0,99.0,0.5
47,Казахстан,27660,4.81,71.1,77.0,99.8,22.8
48,Хорватия,26256,1.04,78.3,69.8,99.3,11.5
49,Чили,25700,3.46,79.5,64.29,97.5,9.7
50,Панама,25628,9.67,78.0,42.75,95.0,4.4
51,Маврикий,23709,1.82,74.8,24.9,87.4,7.3
52,Болгария,23169,1.14,74.8,56.66,94.4,7.9
53,Уругвай,23158,7.69,77.1,43.35,98.8,16.5
54,Экваториальная Гвинея,22718,2.31,59.5,6.0,95.3,22.0
55,Мальдивы,21874,0.75,78.4,28.3,99.3,2.7
56,Мексика,20616,19.26,76.6,65.3,93.7,5.2
57,Аргентина,20551,5.94,76.9,78.6,98.4,9.1
58,Белоруссия,19941,3.58,74.2,62.23,99.7,21.4
59,Туркмения,19518,4.22,68.2,2.2,99.7,7.2
60,Таиланд,19484,3.24,75.5,83.5,92.9,12.9
61,Иран,19377,2.47,75.7,70.0,93.0,4.0
62,Барбадос,18655,10.91,75.6,70.2,99.8,0.4
63,Габон,18434,8.04,66.4,7.23,83.2,9.6
64,Доминиканская Республика,18346,15.18,73.5,51.93,91.8,10.5
65,Китай,18116,0.62,76.4,53.2,96.4,8.0
66,Азербайджан,18023,2.14,73.1,77.0,99.8,2.6
67,Ботсвана,17948,15.04,66.1,6.0,88.5,11.5
68,Коста-Рика,17566,11.9,79.6,59.76,97.0,7.5
69,Сербия,17552,1.39,76.3,65.32,98.5,10.9
70,Бразилия,16146,29.53,75.1,65.9,92.5,6.1
71,Гренада,15996,10.25,73.4,33.46,96.0,1.7
72,Северная Македония,15715,1.59,75.9,51.9,94.2,6.2
73,Алжир,15332,1.36,76.4,38.2,80.2,3.3
74,Суринам,15111,8.35,71.8,31.59,95.6,23.2
75,Колумбия,14936,25.5,75.1,58.1,94.7,7.0
76,Ливан,14689,3.99,76.3,31.0,94.4,3.2
77,Перу,14242,7.67,75.9,40.9,94.2,5.1
78,ЮАР,13630,33.97,63.6,54.0,94.5,11.6
79,Босния и Герцеговина,13583,1.28,77.3,65.07,98.4,6.4
80,Монголия,13451,5.66,69.8,10.2,97.8,13.3
81,Шри-Ланка,13443,2.55,75.3,29.99,92.6,14.2
82,Парагвай,13400,9.29,74.2,44.38,95.1,9.3
83,Египет,13358,2.51,70.5,39.2,73.8,4.4
84,Албания,13327,2.7,76.4,45.0,97.6,5.6
85,Индонезия,13234,0.5,69.3,50.4,95.4,3.7
86,Тунис,12384,3.05,76.0,48.52,81.8,3.2
87,Эквадор,11760,5.85,76.5,48.94,85.6,7.2
88,Фиджи,11685,2.26,69.9,14.82,94.4,5.5
89,Ливия,11473,2.5,71.9,14.0,91.0,5.5
90,Грузия,11429,0.99,72.6,27.0,99.8,6.7
91,Намибия,11298,17.14,63.7,6.5,81.9,11.5
92,Венесуэла,10798,56.33,74.1,61.87,97.1,3.8
93,Армения,10273,2.98,74.8,58.25,99.7,5.7
94,Ямайка,9473,47.01,76.0,26.1,91.8,2.0
95,Иордания,9431,1.55,74.3,53.4,95.4,3.7
96,Бутан,9344,1.13,70.6,13.6,64.9,11.6
97,Украина,9287,6.34,72.5,52.48,99.8,18.5
98,Филиппины,8943,11.02,69.3,55.5,96.3,3.7
99,Марокко,8931,1.24,76.0,57.08,68.5,3.1
100,Гайана,8581,18.37,66.2,29.9,99.0,30.2
101,Белиз,8504,37.6,70.5,14.0,75.1,5.9
102,Узбекистан,8498,3.0,72.3,51.24,96.9,7.4
103,Гватемала,8443,27.26,73.2,10.5,81.5,2.9
104,Сальвадор,8041,82.84,73.7,15.0,86.5,13.5
105,Боливия,7842,6.3,71.5,45.1,92.5,12.9
106,Лаос,7594,7.01,65.8,18.2,79.9,9.3
107,Вьетнам,7513,1.52,76.3,67.1,94.5,7.0
108,Кабо-Верде,7320,11.49,73.2,30.0,83.8,15.1
109,Молдавия,7307,3.19,71.5,40.0,99.4,13.4
110,Республика Конго,6949,9.32,64.3,5.0,79.3,9.3
111,Ангола,6851,4.85,62.6,12.4,71.1,8.9
112,Гана,6492,1.68,63.4,23.48,76.6,8.7
113,Тонга,6148,0.95,73.4,12.0,99.4,4.0
114,Нигерия,5967,9.85,55.2,47.7,59.6,17.3
115,Самоа,5899,3.15,75.1,7.0,99.0,5.4
116,Пакистан,5690,4.41,66.5,22.7,57.9,3.1
117,Никарагуа,5530,7.37,75.5,10.0,82.8,11.9
118,Джибути,5305,6.48,63.8,6.5,70.3,8.5
119,Гондурас,5216,56.52,75.2,11.09,89.0,3.4
120,Восточный Тимор,4973,3.95,68.6,0.21,67.5,6.4
121,Бангладеш,4630,2.5,72.7,14.4,72.8,6.1
122,Мавритания,4598,9.94,63.9,3.0,52.1,7.3
123,Камбоджа,4348,1.84,69.4,1.26,76.3,5.9
124,Кот-д’Ивуар,4180,11.63,54.6,2.6,43.1,23.0
125,Замбия,4118,5.3,62.3,6.74,63.4,11.3
126,Киргизия,3922,4.49,71.4,20.0,99.5,9.1
127,Камерун,3830,4.17,58.1,4.0,75.0,19.5
128,Папуа — Новая Гвинея,3804,7.85,65.9,1.28,64.2,7.0
129,Кения,3705,4.87,66.7,45.62,73.6,5.6
130,Сенегал,3671,7.38,66.8,21.69,57.7,11.8
131,Лесото,3479,41.25,52.9,3.86,79.4,28.9
132,Таджикистан,3427,1.61,70.8,11.55,99.8,3.3
133,Сан-Томе и Принсипи,3313,3.36,68.7,18.75,87.9,3.1
134,Танзания,3273,6.95,63.9,5.36,72.3,9.6
135,Бенин,3267,6.18,61.1,3.13,38.4,15.7
136,Непал,3085,2.16,70.2,17.58,63.9,9.6
137,Зимбабве,2908,6.67,61.4,11.5,86.4,19.1
138,Вануату,2863,2.13,72.0,8.0,78.1,5.4
139,Коморы,2790,7.7,63.9,5.1,75.1,11.1
140,Гамбия,2608,9.13,61.9,9.2,55.5,10.0
141,Уганда,2497,11.52,62.5,19.22,73.6,20.0
142,Чад,2442,9.04,54.3,1.7,22.3,15.5
143,Мали,2380,10.9,58.0,2.7,33.1,8.9
144,Эфиопия,2333,7.56,65.5,0.75,49.1,11.4
145,Гвинея,2322,8.82,59.8,0.96,30.4,10.5
146,Руанда,2287,2.52,68.0,7.7,70.5,11.0
147,Йемен,2253,6.66,65.3,25.1,70.1,9.8
148,Соломоновы Острова,2251,3.77,71.1,5.0,76.6,5.9
149,Афганистан,2025,6.35,62.7,4.0,38.2,6.4
150,Буркина-Фасо,1982,0.37,60.3,1.4,36.0,14.8
151,Гвинея-Бисау,1938,9.55,59.8,2.45,59.9,7.4
152,Гаити,1865,10.04,63.5,8.37,60.7,12.2
153,Того,1750,9.0,60.6,5.38,63.7,16.6
154,Мадагаскар,1631,7.69,66.1,1.7,64.7,6.9
155,Мозамбик,1292,3.4,60.1,4.17,58.8,8.4
156,Малави,1200,1.73,64.2,2.26,62.1,7.8
157,Нигер,1062,4.44,59.8,0.83,19.1,9.0
158,Эритрея,1028,8.04,65.0,5.4,73.8,13.8
159,ЦАР,789,19.76,53.0,2.3,36.8,11.6
160,Бурунди,733,6.02,60.1,2.1,88.0,15.0
